year,type,use_case,flow_units,flow_units_lo,flow_units_hi,share_prior,estimator
2019,T1,U1,102948.81709821428,78024.36664285715,135163.42302272728,0.95,deterministic_assumption
2019,T1,U2,5418.358794642857,1733.8748142857144,13792.186022727274,0.05,prior_allocation
2019,T2,U1,26376.84771428572,11190.177818181817,49236.782400000004,0.45,prior_allocation
2019,T2,U2,23446.086857142862,9325.148181818182,45133.71720000001,0.4,prior_allocation
2019,T2,U4,8792.282571428572,1865.0296363636364,20515.326,0.15,prior_allocation
2019,T3,U1,61750.89253125,30738.222059999996,107034.88038749999,0.5,prior_allocation
2019,T3,U2,55575.803278125,26347.047479999997,98801.42804999999,0.45,prior_allocation
2019,T3,U3,6175.089253125,1756.469832,16466.904674999998,0.05,prior_allocation
2019,T4,U1,5123.037010000001,2095.787867727273,12295.288824000001,0.25,prior_allocation
2019,T4,U2,12295.288824000001,6287.363603181819,23053.666545,0.6,prior_allocation
2019,T4,U3,3073.8222060000003,1117.7535294545455,7684.555515,0.15,prior_allocation
2019,T5,U3,-277.2583125,-154.33269428571427,-366.95953124999994,0.85,deterministic_assumption
2019,T5,U4,-48.92793749999999,-41.93823214285714,-39.14235,0.15,prior_allocation
2019,T6,U2,1065.7072725000003,266.42681812500007,3330.3352265625,0.2,prior_allocation
2019,T6,U3,3463.5486356250008,1332.1340906250002,8325.83806640625,0.65,prior_allocation
2019,T6,U4,799.2804543750001,213.14145450000004,2775.27935546875,0.15,prior_allocation
2019,T7,U1,47715.02666666667,24922.580892857142,80519.1075,0.8,prior_allocation
2019,T7,U2,11928.756666666668,3834.243214285714,31312.986249999998,0.2,prior_allocation
2020,T1,U1,155796.34165178568,118077.22735714285,204547.9241590909,0.95,deterministic_assumption
2020,T1,U2,8199.807455357142,2623.9383857142857,20872.23715909091,0.05,prior_allocation
2020,T2,U1,21853.49817857143,9271.181045454545,40793.196599999996,0.45,prior_allocation
2020,T2,U2,19425.331714285716,7725.984204545454,37393.763549999996,0.4,prior_allocation
2020,T2,U4,7284.499392857143,1545.196840909091,16997.16525,0.15,prior_allocation
2020,T3,U1,47524.983187499995,23656.880519999995,82376.637525,0.5,prior_allocation
2020,T3,U2,42772.48486875,20277.326159999997,76039.97309999999,0.45,prior_allocation
2020,T3,U3,4752.498318749999,1351.8217439999999,12673.32885,0.05,prior_allocation
2020,T4,U1,3942.8134200000004,1612.9691263636364,9462.752208000002,0.25,prior_allocation
2020,T4,U2,9462.752208,4838.90737909091,17742.66039,0.6,prior_allocation
2020,T4,U3,2365.688052,860.2502007272727,5914.220130000001,0.15,prior_allocation
2020,T5,U3,-254.62422916666665,-141.7336885714286,-337.0026562499999,0.85,deterministic_assumption
2020,T5,U4,-44.9336875,-38.51458928571429,-35.946949999999994,0.15,prior_allocation
2020,T6,U2,641.5436040000001,160.38590100000002,2004.8237624999995,0.2,prior_allocation
2020,T6,U3,2085.0167130000004,801.9295050000001,5012.059406249999,0.65,prior_allocation
2020,T6,U4,481.157703,128.3087208,1670.6864687499997,0.15,prior_allocation
2020,T7,U1,32404.372,16925.497875,54682.37775,0.8,prior_allocation
2020,T7,U2,8101.093,2603.92275,21265.369125,0.2,prior_allocation
2021,T1,U1,256368.83129464285,194300.58792857142,336591.4225227272,0.95,deterministic_assumption
2021,T1,U2,13493.096383928572,4317.790842857143,34346.06352272727,0.05,prior_allocation
2021,T2,U1,49699.888875,21084.801340909093,92773.12589999998,0.45,prior_allocation
2021,T2,U2,44177.679000000004,17570.66778409091,85042.032075,0.4,prior_allocation
2021,T2,U4,16566.629624999998,3514.133556818182,38655.469124999996,0.15,prior_allocation
2021,T3,U1,69226.61118749999,34459.46867999999,119992.79272499998,0.5,prior_allocation
2021,T3,U2,62303.95006875,29536.687439999994,110762.57789999997,0.45,prior_allocation
2021,T3,U3,6922.661118749999,1969.112496,18460.42965,0.05,prior_allocation
2021,T4,U1,5743.24478,2349.5092281818183,13783.787472,0.25,prior_allocation
2021,T4,U2,13783.787472,7048.5276845454555,25844.60151,0.6,prior_allocation
2021,T4,U3,3445.946868,1253.0715883636365,8614.86717,0.15,prior_allocation
2021,T5,U3,-1010.6422083333333,-562.5625200000001,-1337.6146874999997,0.85,deterministic_assumption
2021,T5,U4,-178.348625,-152.87025,-142.67889999999997,0.15,prior_allocation
2021,T6,U2,-2703.1220970000004,-2027.34157275,-2815.752184375,0.2,prior_allocation
2021,T6,U3,-8785.14681525,-5068.353931875001,-14078.760921874999,0.65,prior_allocation
2021,T6,U4,-2027.34157275,-1689.4513106250001,-2252.6017475,0.15,prior_allocation
2021,T7,U1,58995.26533333334,30814.491267857145,99554.51025,0.8,prior_allocation
2021,T7,U2,14748.816333333334,4740.6909642857145,38715.642875,0.2,prior_allocation
2022,T1,U1,127592.62459821427,96701.77864285716,167518.73774999997,0.95,deterministic_assumption
2022,T1,U2,6715.4012946428575,2148.9284142857146,17093.74875,0.05,prior_allocation
2022,T2,U1,43148.59547142857,18305.464745454545,80544.04488,0.45,prior_allocation
2022,T2,U2,38354.30708571429,15254.553954545456,73832.04114,0.4,prior_allocation
2022,T2,U4,14382.865157142856,3050.9107909090912,33560.0187,0.15,prior_allocation
2022,T3,U1,57190.50309375,28468.161539999997,99130.2053625,0.5,prior_allocation
2022,T3,U2,51471.452784375,24401.28132,91504.80494999999,0.45,prior_allocation
2022,T3,U3,5719.050309375,1626.752088,15250.800824999998,0.05,prior_allocation
2022,T4,U1,4744.693590000001,1941.0110140909092,11387.264616,0.25,prior_allocation
2022,T4,U2,11387.264616000002,5823.0330422727275,21351.121155,0.6,prior_allocation
2022,T4,U3,2846.8161540000006,1035.2058741818182,7117.040385,0.15,prior_allocation
2022,T5,U3,-747.7765208333332,-416.2413171428571,-989.7042187500001,0.85,deterministic_assumption
2022,T5,U4,-131.96056249999998,-113.10905357142856,-105.56845000000001,0.15,prior_allocation
2022,T6,U2,4162.578420000001,1040.6446050000002,13008.057562499998,0.2,prior_allocation
2022,T6,U3,13528.379865,5203.223025,32520.14390625,0.65,prior_allocation
2022,T6,U4,3121.933815,832.5156840000001,10840.04796875,0.15,prior_allocation
